,name,height,weight
0,alex,0.76,112.99
1,ajay,0.83,136.49
2,alice,0.8,153.03
3,ravi,0.78,142.34
4,joe,0.78,144.3
5,alex,0.76,112.99
6,ajay,0.83,136.49
7,alice,0.8,153.03
8,ravi,0.78,142.34
9,joe,0.78,144.3
10,alex,0.76,112.99
11,ajay,0.83,136.49
12,alice,0.8,153.03
13,ravi,0.78,142.34
14,joe,0.78,144.3
15,simon,0.78,112.37
16,jacob,0.77,120.67
17,cindy,0.77,127.45
18,ivan,0.78,114.14
19,simon,0.78,112.37
20,jacob,0.77,120.67
21,cindy,0.77,127.45
22,ivan,0.78,114.14
23,simon,0.78,112.37
24,jacob,0.77,120.67
25,cindy,0.77,127.45
26,ivan,0.78,114.14
